90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",49,TV Asahi,2023-02-17
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",3,"Bandai Visual, Sotsu",2023-02-17
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",39,"TV Asahi, Sotsu",2023-02-17
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",50,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",2023-02-17
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",50,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",2023-02-17
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",50,"Sotsu, Fuji TV",2023-02-17
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",49,"TV Asahi, Sotsu",2023-02-17
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",26,"GDH, Victor Entertainment, TV Tokyo Music",2023-02-17
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",26,"Bandai Visual, TV Tokyo Music, Studio Zain",2023-02-17
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",26,"Bandai Visual, Lantis, TV Tokyo Music",2023-02-17
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",13,"Kadokawa Shoten, Rondo Robe",2023-02-17
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",12,"Pony Canyon, TBS, Movic",2023-02-17
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",26,"Animax, Toei Video, Sunny Side Up",2023-02-17
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",74,"Nihon Ad Systems, Shueisha",2023-02-17
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",24,Bandai Visual,2023-02-17
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",13,Unknown,2023-02-17
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",51,Unknown,2023-02-17
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",13,Aniplex,2023-02-17
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",3,Aniplex,2023-02-17
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",24,"GDH, TV Asahi, Imagica",2023-02-17
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",52,Unknown,2023-02-17
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",52,"NHK, Studio Tron",2023-02-17
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",8,m.o.e.,2023-02-17
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",26,"Starchild Records, TV Tokyo Music",2023-02-17
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",26,TV Tokyo Music,2023-02-17
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",13,Pioneer LDC,2023-02-17
116,El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",26,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",2023-02-17
117,El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",7,Pioneer LDC,2023-02-17
118,El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",4,Pioneer LDC,2023-02-17
119,Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",13,Trinet Entertainment,2023-02-17
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",26,"TV Tokyo, Nihon Ad Systems, King Records",2023-02-17
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",51,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",2023-02-17
122,Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",52,Nihon Ad Systems,2023-02-17
123,Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",52,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",2023-02-17
124,Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",4,Unknown,2023-02-17
125,Futakoi,6.49,"Comedy, Romance, School",13,Lantis,2023-02-17
126,Futakoi Alternative,6.91,"Comedy, Drama, Romance",13,Lantis,2023-02-17
127,Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",24,Media Factory,2023-02-17
128,Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",6,Unknown,2023-02-17
129,Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",50,"TV Tokyo, Dentsu, Group TAC",2023-02-17
130,Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",25,Unknown,2023-02-17
131,Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",26,Unknown,2023-02-17
132,GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",49,"TBS, Kodansha, Rondo Robe, Rakuonsha",2023-02-17
133,Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",12,"Pony Canyon, Memory-Tech, Studio Jack",2023-02-17
134,Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",13,"Marvelous, Fuji TV",2023-02-17
